scene_name,scenes_size,num_elements,max_vertex_count,min_vertex_count,avg_vertex_count,tallest_building,shortest_building,avg_building_height,tot_num_faces,avg_num_faces_building,max_num_faces_building,min_coords_biggest_building,max_coords_biggest_building,scene_total_area,tot_buildings_area,avg_building_area,max_building_area,min_occuppied_percentage_area,max_occuppied_percentage_area,avg_occuppied_percentage_area,total_occuppied_percentage_area,tot_buildings_volume_max,avg_building_volume,max_building_volume
2806635,[400.       400.        19.149414],37,24,8,11.555555555555555,19.1494140625,4.4058074951171875,9.92470591598087,552,15.333333333333334,34,[ 19.657864 -62.11964    0.      ],[ 84.3773   -49.161606  19.149414],160000.0,9539.36827535945,264.98245209331805,838.6366444375162,0.014442648571930476,0.5241479027734477,0.16561403255832377,5.962105172099656,127105.58069299496,3530.7105748054155,16059.400352319586
2802392,[400.      400.       34.22658],72,803,8,85.35211267605634,34.22658157348633,4.273455619812012,18.41454591885419,7851,110.5774647887324,860,[ -82.03196 -114.53343    0.     ],[ -0.51070595 -66.10919     19.824787  ],160000.0,56689.71493949063,798.4466892886004,3947.604757895606,0.05137317747557972,2.4672529736847535,0.49902918080537534,35.431071837181655,1187547.1934486208,16726.016809135497,78260.42403770756
2808132,[400.       400.        20.079298],14,40,8,12.615384615384615,20.07929801940918,4.249277114868164,7.645379323225755,220,16.923076923076923,58,[-122.98201    14.040001    0.      ],[-23.615143  98.89863   16.74869 ],160000.0,16865.786054173823,1297.368158013371,8432.135940195294,0.005056219359341014,5.270084962622059,0.810855098758357,10.541116283858644,244866.0434821238,18835.84949862491,141227.22796149956
2806173,[400.       400.        20.158195],96,28,8,11.494736842105263,20.15819549560547,4.0366950035095215,10.307972837749281,1448,15.242105263157894,40,[-107.234924 -149.25462     0.      ],[-66.90028  -91.368256  17.130304],160000.0,31820.479728397007,334.95241819365265,2334.8258351467084,0.03344202223634056,1.4592661469666928,0.20934526137103293,19.887799830248127,421257.82290757337,4434.2928727112985,39996.27712889762
2802189,[400.       400.        36.095963],31,86,8,16.866666666666667,36.09596252441406,4.3363118171691895,14.77418565750122,711,23.7,133,[-25.088266  60.500225   0.      ],[ 12.019354 125.16574   36.095963],160000.0,19295.50189264847,643.1833964216156,2399.5834065802046,0.11591263393595,1.499739629112628,0.4019896227635097,12.059688682905287,361982.69413099723,12066.089804366575,86615.27271812489
2800087,[400.      414.02975  16.64999],8,56,8,18.0,16.64999008178711,4.718687534332275,11.72525875908988,175,25.0,82,[-33.45803   -2.909668   0.      ],[ 54.45054  214.02975   12.865866],165611.9,32637.379635688696,4662.482805098385,19070.834273982793,0.07313485290465052,11.515376343289203,2.815306526367808,19.707145684574655,461414.91776545584,65916.41682363655,245362.79269709537
2805179,[400.       400.        18.753017],16,42,8,18.533333333333335,18.75301742553711,7.275759220123291,15.110245927174885,391,26.066666666666666,63,[-109.30502   -66.884964    0.      ],[-50.11407   11.417221  13.299936],160000.0,22457.93439962808,1497.195626641872,4634.780900869286,0.12213536092545837,2.8967380630433035,0.93574726665117,14.03620899976755,330293.47728292627,22019.565152195086,61642.29072078481
2800356,[400.       400.        43.000435],40,342,8,28.71794871794872,43.00043487548828,4.567836284637451,17.7607281880501,1562,40.05128205128205,457,[-140.92458  -73.25937    0.     ],[-42.82266   25.158525  43.000435],160000.0,47988.736440732566,1230.4804215572453,9654.984130415753,0.07848275802234639,6.034365081509845,0.7690502634732784,29.992960275457854,1065964.642592985,27332.42673315346,415168.51632381545
2802388,[400.       400.        20.407957],70,68,8,27.73913043478261,20.407957077026367,4.522711277008057,15.487661762513977,2765,40.072463768115945,104,[-87.27582  -37.827534   0.      ],[-28.456127 -11.633619  18.500748],160000.0,35763.739814187626,518.3150697708352,1540.7179441353583,0.09161851812579698,0.9629487150845989,0.32394691860677194,22.352337383867276,573836.8324327015,8316.475832357992,28504.433931519732
2800144,[400.       400.        46.152744],5,192,8,54.0,46.15274429321289,19.72509002685547,31.444371700286865,290,72.5,260,[-79.43374 -78.91576   0.     ],[77.36741  67.6697   21.308744],160000.0,30926.29150970711,7731.572877426777,22984.7678348748,1.6404798319126985,14.365479896796751,4.8322330483917355,19.328932193566942,766487.9754548507,191621.99386371268,489776.5435886891
